feature,importance
stress_lag_2,1351
tmax_7d_mean,941
ndmi_mean,907
pct_cloud_free,858
ndmi_std,818
ndre_p10,795
stress_roll_3,752
stress_lag_1,732
stress_lag_3,683
pct_veg,663
stress_p90,640
stress_mean,506
ndmi_p90,485
ndmi_median,479
ndmi_p10,438
ndvi_std,422
ndvi_p10,392
WS2M,389
ndre_p90,382
ndre_std,379
T2M,370
ndvi_mean,366
ndre_mean,357
rh2m_7d_mean,294
pct_stressed,274
ndvi_p90,264
RH2M,252
ndre_median,221
T2M_MIN,194
T2M_MAX,175
pct_valid,158
ndvi_median,158
ws2m_7d_mean,96
rain_14d_sum,93
t2m_7d_mean,25
t2m_14d_mean,2
rain_7d_sum,0
PRECTOTCORR,0
